Average,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,Type
Dendrite Volume,0.0254832,5.21572,1.22123,1.37513,0.6604,0.145508,1.70605,31.7519,26,µm^3,Dendrite,,,,10,
Dendrite Volume,0.013036,3.27286,0.6879,0.841743,0.339873,0.117188,0.746094,28.8918,42,µm^3,Dendrite,,,,11,
Dendrite Volume,0.0220046,3.83557,0.98787,1.03599,0.595568,0.135742,1.57129,30.624,31,µm^3,Dendrite,,,,12,
Dendrite Volume,0.0129792,3.92364,1.36882,1.20492,1.14395,0.186523,2.11133,27.3765,20,µm^3,Dendrite,,,,13,
Dendrite Volume,0.141877,4.32058,1.36312,1.18919,1.24175,0.261719,2.01172,20.4468,15,µm^3,Dendrite,,,,14,
Dendrite Volume,0.0398768,3.69989,1.08497,1.07437,0.516753,0.232422,1.70801,29.2941,27,µm^3,Dendrite,,,,15,
Filament Area (sum),2.01292,172.502,24.2213,40.8567,6.9452,5.1875,26.4375,387.541,16,µm^2,Filament,,,,1,
Filament Area (sum),0,368.118,50.7906,103.817,8.56759,2.625,34.25,558.697,11,µm^2,Filament,,,,2,
Filament Area (sum),0,154.148,51.857,50.3155,37.6361,9.71875,83.0938,414.856,8,µm^2,Filament,,,,3,
Filament Area (sum),19.1281,116.94,68.6072,40.6334,92.0639,20.9063,94.0313,343.036,5,µm^2,Filament,,,,4,
Filament Area (sum),0,162.044,75.7351,63.5932,85.4373,7.5625,123.688,378.675,5,µm^2,Filament,,,,5,
Filament Area (sum),4.90593,256.02,72.3126,97.1049,7.51096,5.875,87.375,361.563,5,µm^2,Filament,,,,6,
Filament Area (sum),0,195.534,58.3483,67.3309,30.8638,11.4063,73.5938,350.09,6,µm^2,Filament,,,,7,
Filament Area (sum),0,201.986,69.874,73.8123,40.8058,11.4375,95.1875,349.37,5,µm^2,Filament,,,,8,
Filament Area (sum),41.868,230.725,136.296,94.4284,136.296,89.0313,183.469,272.593,2,µm^2,Filament,,,,9,
Filament Area (sum),387.441,387.441,387.441,0,387.441,387.441,387.441,387.441,1,µm^2,Filament,,,,10,
Filament Area (sum),2.20789,188.799,43.2484,59.692,13.11,4.3125,57.6563,345.988,8,µm^2,Filament,,,,11,
Filament Area (sum),376.384,376.384,376.384,0,376.384,376.384,376.384,376.384,1,µm^2,Filament,,,,12,
Filament Area (sum),336.859,336.859,336.859,0,336.859,336.859,336.859,336.859,1,µm^2,Filament,,,,13,
Filament Area (sum),257.726,257.726,257.726,0,257.726,257.726,257.726,257.726,1,µm^2,Filament,,,,14,
Filament Area (sum),0,258.482,51.7793,90.0781,2.0281,1.75,49.25,362.455,7,µm^2,Filament,,,,15,
Filament Dendrite Area (sum),0,134.462,16.7756,32.1946,5.24885,0.0625,18.5625,268.409,16,µm^2,Filament,,,,1,
Filament Dendrite Area (sum),0,314.079,41.8827,90.1485,0,0.125,26.625,460.71,11,µm^2,Filament,,,,2,
Filament Dendrite Area (sum),0,132.728,43.6106,42.8679,31.0559,9.71875,65.875,348.885,8,µm^2,Filament,,,,3,
Filament Dendrite Area (sum),16.3296,98.5874,58.0866,33.2679,73.5593,20.9063,81.0313,290.433,5,µm^2,Filament,,,,4,
Filament Dendrite Area (sum),0,141.245,64.5709,54.607,69.6553,7.5625,104.438,322.854,5,µm^2,Filament,,,,5,
Filament Dendrite Area (sum),4.34319,224.236,62.5139,84.8103,7.51096,4.9375,71.5625,312.57,5,µm^2,Filament,,,,6,
Filament Dendrite Area (sum),0,169.727,51.9059,58.224,29.9739,10.625,65.6563,311.435,6,µm^2,Filament,,,,7,
Filament Dendrite Area (sum),0,179.591,62.1511,65.1164,37.9829,11.4375,81.8125,310.755,5,µm^2,Filament,,,,8,
Filament Dendrite Area (sum),39.8048,196.877,118.341,78.536,118.341,79.0938,157.656,236.682,2,µm^2,Filament,,,,9,
Filament Dendrite Area (sum),348.603,348.603,348.603,0,348.603,348.603,348.603,348.603,1,µm^2,Filament,,,,10,
Filament Dendrite Area (sum),2.20789,176.788,39.7911,55.5301,12.4893,4.3125,52.4688,318.329,8,µm^2,Filament,,,,11,
Filament Dendrite Area (sum),336.25,336.25,336.25,0,336.25,336.25,336.25,336.25,1,µm^2,Filament,,,,12,
Filament Dendrite Area (sum),301.332,301.332,301.332,0,301.332,301.332,301.332,301.332,1,µm^2,Filament,,,,13,
Filament Dendrite Area (sum),228.537,228.537,228.537,0,228.537,228.537,228.537,228.537,1,µm^2,Filament,,,,14,
Filament Dendrite Area (sum),0,227.265,45.7568,79.3491,2.0281,1,44.5,320.298,7,µm^2,Filament,,,,15,
Filament Dendrite Length (sum),0,116.838,14.5909,27.9785,4.56696,0.03125,16.1406,233.455,16,µm,Filament,,,,1,
Filament Dendrite Length (sum),0,262.294,32.9216,74.3699,0,0.125,23.125,362.138,11,µm,Filament,,,,2,
Filament Dendrite Length (sum),0,117.142,36.2179,36.4479,27.0213,8.46875,53.2813,289.743,8,µm,Filament,,,,3,
Filament Dendrite Length (sum),14.2082,85.7797,50.8977,28.5528,64.003,19.9688,70.5313,254.489,5,µm,Filament,,,,4,
Filament Dendrite Length (sum),0,124.712,56.5455,48.0256,60.6062,6.59375,90.8438,282.728,5,µm,Filament,,,,5,
Filament Dendrite Length (sum),3.77895,197.574,54.8864,74.7346,6.53519,4.3125,62.3125,274.432,5,µm,Filament,,,,6,
Filament Dendrite Length (sum),0,150.438,46.3961,51.573,28.4,9.25,58.3125,278.376,6,µm,Filament,,,,7,
Filament Dendrite Length (sum),0,161.201,55.065,58.4454,33.0485,9.9375,71.1875,275.325,5,µm,Filament,,,,8,
Filament Dendrite Length (sum),37.7153,174.889,106.302,68.5868,106.302,72,140.625,212.604,2,µm,Filament,,,,9,
