Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
12.651720,8402.333000,8479.333000,8313.333000,7040.667000,8210.667000,7369.667000,7480.000000,7757.000000,7987.000000,2707.667000,3248.667000,2915.667000
12.915310,8451.667000,8577.667000,8114.667000,6848.000000,8179.000000,7593.000000,7507.667000,7770.667000,8067.667000,2790.667000,3420.667000,3030.667000
13.178890,8606.667000,8751.667000,8572.667000,7358.667000,8447.667000,7684.667000,7689.667000,7923.667000,8192.667000,2791.667000,3330.667000,3161.667000
13.442470,8633.667000,8797.667000,8373.667000,6976.333000,8467.333000,7771.333000,7742.333000,8082.333000,8182.333000,2950.667000,3381.667000,3204.667000
13.706060,8694.667000,8707.667000,8605.667000,7407.000000,8598.000000,7934.000000,7740.667000,8069.667000,8245.667000,2933.333000,3572.333000,3415.333000
13.969610,8723.333000,8797.333000,8626.333000,7390.667000,8494.667000,8034.667000,7728.333000,8102.333000,8187.333000,3039.000000,3477.000000,3398.000000
14.233190,8651.000000,8727.000000,8548.000000,7397.667000,8495.667000,8040.667000,7653.333000,8048.333000,8171.333000,3011.667000,3565.667000,3398.667000
14.496780,8447.333000,8606.333000,8209.333000,7009.333000,8492.333000,8076.333000,7516.000000,7885.000000,8069.000000,3075.333000,3448.333000,3553.333000
14.760360,8537.667000,8657.667000,8217.667000,7306.333000,8434.333000,8157.333000,7493.333000,8011.333000,8050.333000,3165.000000,3570.000000,3663.000000
15.023920,8630.000000,8781.000000,8349.000000,7170.000000,8539.000000,8188.000000,7700.667000,8045.667000,8153.667000,3219.333000,3722.333000,3787.333000
15.287500,8709.333000,8773.333000,8340.333000,7440.333000,8793.333000,8447.333000,7675.667000,8068.667000,8385.667000,3293.667000,3702.667000,3895.667000
15.551080,8987.000000,8948.000000,8464.000000,7554.333000,8753.333000,8653.333000,7756.667000,8255.667000,8598.667000,3575.667000,3739.667000,3898.667000
15.814670,8814.000000,8882.000000,8428.000000,7459.667000,8783.667000,8667.667000,7734.667000,8286.667000,8709.667000,3440.667000,3893.667000,3996.667000
16.078220,9017.333000,8888.333000,8601.333000,7810.000000,8820.000000,8734.000000,7740.000000,8285.000000,8748.000000,3679.333000,3698.333000,4128.333000
16.341810,8890.000000,8937.000000,8372.000000,7351.667000,8810.667000,8863.667000,7773.333000,8350.333000,8762.333000,3846.333000,3908.333000,4155.333000
16.605390,8736.333000,8743.333000,8294.333000,7347.667000,8732.667000,8738.667000,7510.000000,8249.000000,8649.000000,3699.000000,3780.000000,4275.000000
16.868970,8699.667000,8804.667000,8477.667000,7458.667000,8751.667000,8734.667000,7495.000000,8097.000000,8710.000000,3625.000000,3679.000000,4179.000000
17.132560,8891.333000,8958.333000,8557.333000,7431.000000,8791.000000,8771.000000,7540.000000,8239.000000,8751.000000,3915.000000,3806.000000,4134.000000
17.396110,8908.000000,8990.000000,8605.000000,7564.000000,8873.000000,8941.000000,7715.333000,8367.333000,8921.333000,3820.333000,3682.333000,4307.333000
17.659690,9084.000000,8992.000000,8661.000000,7811.000000,9087.000000,9055.000000,7764.000000,8366.000000,9078.000000,3841.333000,3965.333000,4374.333000
