frame,phenotype,cell,sample,intesnsity
4,WT,cPRC,31,1.102060027
4,WT,cPRC,32,1.074423948
4,WT,cPRC,33,1.064717679
4,WT,cPRC,34,1.209590498
4,WT,cPRC,35,1.045934193
4,WT,cPRC,36,0.993860299
4,WT,cPRC,37,1.016307183
4,WT,INNOS,38,1.022655587
4,WT,INNOS,39,1.060922586
4,WT,INNOS,40,1.009117208
4,WT,INNOS,41,0.760761813
4,WT,INNOS,42,0.982942288
4,WT,INNOS,43,1.036958262
4,WT,INNOS,44,0.975000439
4,WT,INNOS,45,0.928683436
4,WT,INNOS,46,0.989733406
4,WT,INNOS,47,0.967507119
4,WT,INNOS,48,1.058787845
4,WT,INNOS,49,1.085002184
4,WT,INNOS,50,0.695964577
4,WT,INNOS,51,0.929904616
4,WT,INNOS,52,0.947897446
4,WT,INNOS,53,1.025539803
4,WT,INNOS,54,0.927610751
4,WT,INNOS,55,1.04815884
4,WT,INNOS,56,1.48572188
4,WT,INNOS,57,1.222635979
4,WT,INNOS,58,0.843607643
4,WT,INNOS,59,1.142306946
4,WT,INNOS,60,0.972391994
4,WT,INNOS,61,1.031717636
4,WT,INNOS,62,1.135742403
4,WT,INNOS,63,0.938163945
4,WT,INNOS,64,1.081300813
4,NOS11,cPRC,65,0.821241393
4,NOS11,cPRC,66,0.79511285
4,NOS11,cPRC,67,1.114696006
4,NOS11,cPRC,68,1.075607055
4,NOS11,cPRC,69,1.020215335
4,NOS11,cPRC,70,0.696047254
4,NOS11,cPRC,71,1.175753001
4,NOS11,cPRC,72,1.178257965
4,NOS11,cPRC,73,1.138751397
4,NOS11,cPRC,74,1.054407442
4,NOS11,cPRC,75,1.057360617
4,NOS11,cPRC,76,1.091244874
4,NOS11,cPRC,77,1.016618845
4,NOS11,cPRC,78,1.048322016
4,NOS11,cPRC,79,1.032068699
4,NOS11,cPRC,80,1.104402993
4,NOS11,cPRC,81,1.02724867
4,NOS11,cPRC,82,1.090787169
4,NOS11,INNOS,83,0.916000568
4,NOS11,INNOS,84,0.906196268
4,NOS11,INNOS,85,0.788027712
4,NOS11,INNOS,86,0.811540008
4,NOS11,INNOS,87,0.688447916
4,NOS11,INNOS,88,0.974931397
4,NOS11,INNOS,89,0.790537322
4,NOS11,INNOS,90,0.88914262
4,NOS11,INNOS,91,0.998298799
4,NOS11,INNOS,92,1.037192814
4,NOS11,INNOS,93,0.910717022
4,NOS11,INNOS,94,1.022660544
4,NOS11,INNOS,95,1.069686767
4,NOS11,INNOS,96,0.918549486
4,NOS11,INNOS,97,0.962276563
4,NOS11,INNOS,98,0.991448815
4,NOS11,INNOS,99,0.968578459
4,NOS11,INNOS,100,1.072211322
4,NOS11,INNOS,101,1.077944084
4,NOS11,INNOS,102,0.979724043
4,NOS11,INNOS,103,1.253390316
5,WT,cPRC,2,0.997824526
5,WT,cPRC,3,0.944060316
5,WT,cPRC,4,1.037245263
5,WT,cPRC,5,0.870026636
5,WT,cPRC,6,0.9394599
5,WT,cPRC,7,0.917623645
5,WT,cPRC,8,0.994449723
5,WT,cPRC,9,0.992744618
5,WT,cPRC,10,1.042322331
5,WT,cPRC,11,1.055836592
5,WT,cPRC,12,1.068258645
5,WT,cPRC,13,1.025123913
5,WT,cPRC,14,0.920022954
5,WT,cPRC,15,0.907108518
5,WT,cPRC,16,1.04004914
5,WT,cPRC,17,0.997684153
5,WT,cPRC,18,1.075296016
5,WT,cPRC,19,1.060539888
5,WT,cPRC,20,1.110708298
5,WT,cPRC,21,1.187151928
5,WT,cPRC,22,0.981947429
5,WT,cPRC,23,1.032329037
5,WT,cPRC,24,1.291224641
5,WT,cPRC,25,1.216249589
5,WT,cPRC,26,1.049678923
5,WT,cPRC,27,1.082831178
5,WT,cPRC,28,0.986468082
5,WT,cPRC,29,0.91450862
5,WT,cPRC,30,0.96148735
5,WT,cPRC,31,1.095262631
5,WT,cPRC,32,1.071626461
5,WT,cPRC,33,1.0680779
5,WT,cPRC,34,1.194720784
5,WT,cPRC,35,1.038157289
5,WT,cPRC,36,0.98665503
5,WT,cPRC,37,1.008894827
5,WT,INNOS,38,1.022693498
5,WT,INNOS,39,1.042321644
5,WT,INNOS,40,1.014518982
5,WT,INNOS,41,0.749211451
5,WT,INNOS,42,0.979353201
5,WT,INNOS,43,1.071789594
5,WT,INNOS,44,0.970175962
5,WT,INNOS,45,0.937984663
5,WT,INNOS,46,0.992412462
5,WT,INNOS,47,0.954079997
5,WT,INNOS,48,1.056209673
5,WT,INNOS,49,1.086437083
5,WT,INNOS,50,0.70914763
5,WT,INNOS,51,0.916685041
5,WT,INNOS,52,1.036005633
5,WT,INNOS,53,1.046565514
5,WT,INNOS,54,0.969191544
5,WT,INNOS,55,1.054266704
5,WT,INNOS,56,1.465228728
5,WT,INNOS,57,1.207994975
5,WT,INNOS,58,0.831822634
5,WT,INNOS,59,1.211770247
5,WT,INNOS,60,1.008284871
5,WT,INNOS,61,1.020302695
5,WT,INNOS,62,1.141602901
5,WT,INNOS,63,0.938124306
5,WT,INNOS,64,1.061131605
5,NOS11,cPRC,65,0.820562138
5,NOS11,cPRC,66,0.79823751
5,NOS11,cPRC,67,1.096572788
5,NOS11,cPRC,68,1.085045539
5,NOS11,cPRC,69,1.02765564
5,NOS11,cPRC,70,0.706076788
5,NOS11,cPRC,71,1.16020231
5,NOS11,cPRC,72,1.169667407
5,NOS11,cPRC,73,1.141705253
5,NOS11,cPRC,74,1.055175288
5,NOS11,cPRC,75,1.052590647
5,NOS11,cPRC,76,1.087640421
5,NOS11,cPRC,77,1.025846436
5,NOS11,cPRC,78,1.053478988
5,NOS11,cPRC,79,1.015765992
5,NOS11,cPRC,80,1.098851843
5,NOS11,cPRC,81,1.0366023
5,NOS11,cPRC,82,1.090349245
5,NOS11,INNOS,83,0.896206782
5,NOS11,INNOS,84,0.889209068
5,NOS11,INNOS,85,0.780493613
5,NOS11,INNOS,86,0.821552071
5,NOS11,INNOS,87,0.692534738
5,NOS11,INNOS,88,0.972166629
5,NOS11,INNOS,89,0.824922316
5,NOS11,INNOS,90,0.906488594
5,NOS11,INNOS,91,1.005869144
5,NOS11,INNOS,92,1.072613111
5,NOS11,INNOS,93,0.9119427
5,NOS11,INNOS,94,1.021493638
5,NOS11,INNOS,95,1.062156923
5,NOS11,INNOS,96,0.884564799
5,NOS11,INNOS,97,0.950435532
5,NOS11,INNOS,98,1.02921364
5,NOS11,INNOS,99,0.959713547
5,NOS11,INNOS,100,1.060200029
5,NOS11,INNOS,101,1.07081333
5,NOS11,INNOS,102,0.973441628
5,NOS11,INNOS,103,1.283568905
6,WT,cPRC,2,1.003837001
6,WT,cPRC,3,0.944960888
6,WT,cPRC,4,1.024423574
6,WT,cPRC,5,0.867028324
6,WT,cPRC,6,0.934605983
6,WT,cPRC,7,0.937014227
6,WT,cPRC,8,0.9909808
6,WT,cPRC,9,0.994799112
6,WT,cPRC,10,1.040263023
6,WT,cPRC,11,1.070246917
6,WT,cPRC,12,1.061511866
6,WT,cPRC,13,1.023338257
6,WT,cPRC,14,0.919024038
6,WT,cPRC,15,0.908420766
6,WT,cPRC,16,1.040706983
6,WT,cPRC,17,0.986695358
6,WT,cPRC,18,1.0668353
6,WT,cPRC,19,1.057670864
6,WT,cPRC,20,1.11605197
6,WT,cPRC,21,1.175180509
6,WT,cPRC,22,0.980953433
6,WT,cPRC,23,1.042247764
6,WT,cPRC,24,1.27647587
6,WT,cPRC,25,1.211943841
6,WT,cPRC,26,1.053622087
6,WT,cPRC,27,1.098815999
6,WT,cPRC,28,0.970028984
6,WT,cPRC,29,0.912728073
6,WT,cPRC,30,0.954935967
6,WT,cPRC,31,1.084363017
6,WT,cPRC,32,1.070099331
6,WT,cPRC,33,1.060394848
6,WT,cPRC,34,1.180681061
6,WT,cPRC,35,1.038810312
6,WT,cPRC,36,1.000740823
6,WT,cPRC,37,1.0181923
6,WT,INNOS,38,1.032413866
6,WT,INNOS,39,1.035169415
6,WT,INNOS,40,0.999136265
6,WT,INNOS,41,0.733470516
6,WT,INNOS,42,0.983238197
6,WT,INNOS,43,1.065157233
6,WT,INNOS,44,0.933597656
6,WT,INNOS,45,0.933087019
6,WT,INNOS,46,1.001985874
6,WT,INNOS,47,0.972532861
6,WT,INNOS,48,1.036769977
6,WT,INNOS,49,1.033782519
6,WT,INNOS,50,0.713555399
6,WT,INNOS,51,0.943009155
6,WT,INNOS,52,1.058002331
6,WT,INNOS,53,1.049826645
6,WT,INNOS,54,0.960331456
6,WT,INNOS,55,1.062997254
6,WT,INNOS,56,1.442381206
6,WT,INNOS,57,1.184964183
6,WT,INNOS,58,0.858828651
6,WT,INNOS,59,1.189160733
6,WT,INNOS,60,1.016779642
6,WT,INNOS,61,1.01050629
6,WT,INNOS,62,1.150935468
6,WT,INNOS,63,0.93408118
6,WT,INNOS,64,1.084420709
6,NOS11,cPRC,65,0.800534824
6,NOS11,cPRC,66,0.81654168
6,NOS11,cPRC,67,1.084431582
6,NOS11,cPRC,68,1.096318826
6,NOS11,cPRC,69,1.020701919
6,NOS11,cPRC,70,0.722913994
6,NOS11,cPRC,71,1.160579754
6,NOS11,cPRC,72,1.172898575
6,NOS11,cPRC,73,1.132564266
6,NOS11,cPRC,74,1.045127463
6,NOS11,cPRC,75,1.051277177
6,NOS11,cPRC,76,1.087372953
6,NOS11,cPRC,77,1.020612877
6,NOS11,cPRC,78,1.051943706
6,NOS11,cPRC,79,1.023481265
6,NOS11,cPRC,80,1.095403924
