Time::Relative Time!!R,Channel1_R2_Area::TV1-SR_R2_Area!!R,Channel1_R2_IntensityMean::TV1-SR_R2_IntensityMean!!R,Channel1_R3_Area::TV1-SR_R3_Area!!R,Channel1_R3_IntensityMean::TV1-SR_R3_IntensityMean!!R,Channel1_R4_Area::TV1-SR_R4_Area!!R,Channel1_R4_IntensityMean::TV1-SR_R4_IntensityMean!!R,Channel1_R5_Area::TV1-SR_R5_Area!!R,Channel1_R5_IntensityMean::TV1-SR_R5_IntensityMean!!R,Channel1_R6_Area::TV1-SR_R6_Area!!R,Channel1_R6_IntensityMean::TV1-SR_R6_IntensityMean!!R,Channel1_R7_Area::TV1-SR_R7_Area!!R,Channel1_R7_IntensityMean::TV1-SR_R7_IntensityMean!!R,Channel1_R8_Area::TV1-SR_R8_Area!!R,Channel1_R8_IntensityMean::TV1-SR_R8_IntensityMean!!R,Channel1_R10_Area::TV1-SR_R10_Area!!R,Channel1_R10_IntensityMean::TV1-SR_R10_IntensityMean!!R,Channel1_R11_Area::TV1-SR_R11_Area!!R,Channel1_R11_IntensityMean::TV1-SR_R11_IntensityMean!!R
1.088271389,37920297.67,529.6345098,14231264.66,810.8077325,36433227.18,96.96612245,26410372.03,555.2488739,53980659.04,818.785124,20298512.28,627.1487179,47378066.04,309.7758945,12446780.06,334.7921147,26559079.08,267.1455767
1.138271667,37920297.67,539.5105882,14231264.66,783.6666667,36433227.18,101.1016327,26410372.03,666.2606982,53980659.04,855.4815427,20298512.28,520.792674,47378066.04,374.6936598,12446780.06,330.5005974,26559079.08,253.7956327
1.188271667,37920297.67,546.2345098,14231264.66,841.4242424,36433227.18,111.9297959,26410372.03,593.7505631,53980659.04,825.799449,20298512.28,650.8710623,47378066.04,389.6745135,12446780.06,327.7323775,26559079.08,245.5879059
1.238271389,37920297.67,554.7611765,14231264.66,1299.882968,36433227.18,108.244898,26410372.03,600.3412162,53980659.04,846.2589532,20298512.28,1408.05641,47378066.04,434.2470182,12446780.06,341.2365591,26559079.08,266.4927212
1.288271944,37920297.67,601.8580392,14231264.66,759.3176594,36433227.18,115.0179592,26410372.03,637.2364865,53980659.04,835.7060606,20298512.28,1192.015385,47378066.04,356.7137476,12446780.06,306.3285544,26559079.08,235.1595745
1.338271944,37920297.67,464.8043137,14231264.66,985.1504702,36433227.18,154.5118367,26410372.03,685.5287162,53980659.04,910.4658402,20298512.28,1068.622711,47378066.04,502.6537979,12446780.06,232.3870968,26559079.08,200.0470325
1.388276111,37920297.67,666.132549,14231264.66,768.2089864,36433227.18,96.28326531,26410372.03,588.231982,53980659.04,831.746832,20298512.28,1641.479121,47378066.04,254.7112367,12446780.06,322.3787336,26559079.08,261.6326988
1.438271667,37920297.67,493.4231373,14231264.66,866.9268548,36433227.18,149.3322449,26410372.03,716.8879505,53980659.04,922.6807163,20298512.28,992.040293,47378066.04,474.6418707,12446780.06,270.5794504,26559079.08,206.2726764
1.488271667,37920297.67,506.5364706,14231264.66,923.4806688,36433227.18,138.0514286,26410372.03,850.9420045,53980659.04,907.2484848,20298512.28,1351.067399,47378066.04,760.0979284,12446780.06,261.1373955,26559079.08,219.6970885
1.538275833,37920297.67,515.1137255,14231264.66,935.8787879,36433227.18,125.0457143,26410372.03,789.8795045,53980659.04,884.2333333,20298512.28,1032.359707,47378066.04,756.9560578,12446780.06,263.0633214,26559079.08,229.9277716
1.588271389,37920297.67,439.3945098,14231264.66,958.2643678,36433227.18,127.7506122,26410372.03,872.4893018,53980659.04,916.3055096,20298512.28,441.5384615,47378066.04,783.3392969,12446780.06,264.516129,26559079.08,195.7525196
